Yr, Mth, Dy, Hr, Hr(total),NO,NO2,O3,NO3,N2O5,OH,HO2,HNO3,PNA,CO,FORM,ALD2,PAN,CH4,MEO2,MEOH,ISOP,MVK,MACR,APIN,BPIN,LIMN,MYRC,BCAR,IAO2,IBO2,IPOX,PALD,MGLY,SO2,SO3,NH3,HCL,EC25,EC10,OC10,OT25,OT10,NH4,NIT,ASO4,AS10,SS25,SS10,AOA1,AOA2,AOA3,AOA4,AOA5,AOA6,AOA7,AOA8,APA1,APA2,APA3,APA4,APA5,APA6,APA7,APA8,APA9,BOA1,BOA2,BOA3,BOA4,BOA5,BOA6,OOA,SOD,CL,LEVO,MAG,CAL,POT,DU02,DU05,DU10,DU20,DU40,DU60,ws (m/s),wd (deg),T (degC),RH (%),pbl (m),pressure (hPa),prcp (mm/hr)
2013,01,29,09, 682,0.6216E-01, 1.539    , 15.02    ,0.2655E-03,0.4008E-03,0.1495E-04,0.1547E-02,0.6727E-04,0.1423E-02, 70.97    ,0.2190    ,0.8443E-01,0.6216E-02, 1666.    ,0.2870E-03,0.2181    ,0.1915E-01,0.2292E-02,0.2604E-02,0.3690E-01,0.2256E-01,0.1569E-01,0.1471E-01,0.1487E-02,0.3022E-04,0.1876E-04,0.2114E-04,0.2194E-04,0.1205E-02,0.1831    ,0.2542E-04,0.1268    ,0.1701    ,0.1419E-01,0.1837E-02,0.3578E-01,0.6909E-01,0.8806E-01,0.4083E-03,0.5611E-02,0.5957E-02,0.1067E-03,0.5704E-01,0.9965E-01,0.2575E-03,0.9309E-03,0.1179E-02,0.2232E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.6298E-01,0.1721E-02,0.5402E-03,0.1016E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1682E-03,0.2193E-03,0.4967E-03,0.1698E-03,0.1004E-03,0.1000E-03,0.1007E-03,0.1749E-01,0.2555E-01,0.1006E-03,0.2083E-02,0.6621E-03,0.6394E-03,0.1429E-02,0.7016E-03,0.1001E-03,0.1003E-03,0.1118E-03,0.1503E-03, 4.016    , 117.2    , 20.10    , 101.2    , 339.2    , 977.4    ,0.6193E-01
2013,01,29,10, 683,0.5268E-01, 1.279    , 15.75    ,0.2659E-03,0.3350E-03,0.1505E-04,0.1798E-02,0.4429E-04,0.1398E-02, 88.47    ,0.1880    ,0.6635E-01,0.6091E-02, 1666.    ,0.3252E-03,0.2062    ,0.8006E-02,0.1037E-02,0.1049E-02,0.3416E-01,0.2095E-01,0.1458E-01,0.1372E-01,0.1385E-02,0.1496E-04,0.9289E-05,0.2113E-04,0.2166E-04,0.5659E-03,0.2553    ,0.2542E-04,0.9542E-01,0.1717    ,0.1156E-01,0.1761E-02,0.3091E-01,0.7026E-01,0.8757E-01,0.4073E-03,0.4895E-02,0.8129E-02,0.1024E-03,0.7108E-01,0.1079    ,0.2591E-03,0.8198E-03,0.1305E-02,0.2577E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.8329E-01,0.1605E-02,0.5891E-03,0.1031E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1833E-03,0.2270E-03,0.6231E-03,0.2063E-03,0.1004E-03,0.1000E-03,0.1008E-03,0.2180E-01,0.3250E-01,0.1007E-03,0.2596E-02,0.8333E-03,0.8049E-03,0.1618E-02,0.8030E-03,0.1001E-03,0.1003E-03,0.1064E-03,0.1260E-03, 4.083    , 135.0    , 20.03    , 100.8    , 350.5    , 977.5    ,0.4105E-01
2013,01,29,11, 684,0.5157E-01, 1.377    , 15.91    ,0.2887E-03,0.3958E-03,0.1431E-04,0.1934E-02,0.3961E-04,0.1648E-02, 106.5    ,0.1873    ,0.6415E-01,0.7465E-02, 1666.    ,0.3165E-03,0.2251    ,0.8398E-02,0.1019E-02,0.1103E-02,0.3569E-01,0.2241E-01,0.1495E-01,0.1386E-01,0.1350E-02,0.1521E-04,0.9427E-05,0.2113E-04,0.2166E-04,0.5096E-03,0.3309    ,0.2541E-04,0.1030    ,0.1976    ,0.1302E-01,0.2273E-02,0.3461E-01,0.8469E-01,0.1059    ,0.9182E-03,0.9624E-02,0.1587E-01,0.1009E-03,0.1073    ,0.1782    ,0.4764E-03,0.1061E-02,0.1681E-02,0.3558E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1228    ,0.1900E-02,0.8340E-03,0.1405E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.3280E-03,0.3375E-03,0.9829E-03,0.3340E-03,0.1053E-03,0.1000E-03,0.1008E-03,0.3292E-01,0.4715E-01,0.1007E-03,0.3919E-02,0.1259E-02,0.1216E-02,0.1745E-02,0.9076E-03,0.1001E-03,0.1003E-03,0.1054E-03,0.1182E-03, 4.163    , 160.3    , 19.95    , 100.7    , 329.6    , 977.6    ,0.1172E-01
2013,01,29,12, 685,0.4445E-01, 1.478    , 15.89    ,0.3312E-03,0.4871E-03,0.1248E-04,0.2050E-02,0.4083E-04,0.1891E-02, 107.9    ,0.2103    ,0.6832E-01,0.1002E-01, 1661.    ,0.3158E-03,0.2728    ,0.3157E-01,0.3654E-02,0.5176E-02,0.3690E-01,0.2467E-01,0.1449E-01,0.1300E-01,0.1244E-02,0.5935E-04,0.3600E-04,0.2469E-04,0.2885E-04,0.1229E-02,0.3363    ,0.2542E-04,0.1012    ,0.1829    ,0.1454E-01,0.2233E-02,0.2611E-01,0.8881E-01,0.8412E-01,0.4361E-03,0.1338E-01,0.1323E-01,0.1003E-03,0.7470E-01,0.9612E-01,0.5842E-03,0.8588E-03,0.1943E-02,0.4733E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1302    ,0.2014E-02,0.8611E-03,0.1511E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.4093E-03,0.3009E-03,0.1387E-02,0.4895E-03,0.1401E-03,0.1000E-03,0.1008E-03,0.2291E-01,0.2846E-01,0.1009E-03,0.2731E-02,0.8790E-03,0.8491E-03,0.2403E-02,0.9793E-03,0.1001E-03,0.1003E-03,0.1053E-03,0.1171E-03, 4.959    , 186.3    , 19.94    , 99.90    , 410.0    , 977.3    ,0.8538E-02
2013,01,29,13, 686,0.3896E-01, 1.005    , 15.73    ,0.2192E-03,0.2551E-03,0.1276E-04,0.2423E-02,0.6119E-03,0.1712E-02, 73.76    ,0.2669    ,0.7072E-01,0.1441E-01, 1633.    ,0.3812E-03,0.4154    ,0.1429    ,0.1289E-01,0.2073E-01,0.3958E-01,0.2921E-01,0.1396E-01,0.1165E-01,0.9811E-03,0.3318E-03,0.1977E-03,0.7309E-04,0.8772E-04,0.3375E-02,0.1690    ,0.2534E-04,0.7066E-01,0.1369    ,0.1145E-01,0.1098E-02,0.1001E-01,0.6140E-01,0.3233E-01,0.1282E-03,0.5395E-02,0.2787E-02,0.1002E-03,0.1052E-01,0.1107E-01,0.4166E-03,0.7063E-03,0.3065E-02,0.7851E-03,0.1001E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.6682E-01,0.2371E-02,0.4859E-03,0.1132E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.2917E-03,0.1270E-03,0.1342E-02,0.4390E-03,0.1416E-03,0.1000E-03,0.1010E-03,0.3225E-02,0.1665E-02,0.1010E-03,0.3946E-03,0.1635E-03,0.1600E-03,0.9044E-02,0.1142E-02,0.1001E-03,0.1003E-03,0.1001E-03,0.1078E-03, 5.998    , 203.7    , 18.97    , 98.36    , 512.8    , 977.1    ,0.1358E-01
2013,01,29,14, 687,0.3662E-01,0.5357    , 16.41    ,0.1229E-03,0.8297E-04,0.1441E-04,0.2481E-02,0.5745E-03,0.1159E-02, 41.07    ,0.2974    ,0.6011E-01,0.1619E-01, 1619.    ,0.4721E-03,0.4809    ,0.1721    ,0.1420E-01,0.2303E-01,0.3919E-01,0.2942E-01,0.1302E-01,0.1024E-01,0.7248E-03,0.4727E-03,0.2849E-03,0.1191E-03,0.1265E-03,0.3739E-02,0.1800E-01,0.2521E-04,0.4305E-01,0.1580    ,0.5991E-02,0.4476E-03,0.2951E-02,0.4001E-01,0.1219E-01,0.1038E-03,0.2248E-02,0.2166E-02,0.1002E-03,0.4913E-02,0.3671E-02,0.6381E-03,0.5143E-02,0.9224E-02,0.1759E-02,0.1737E-03,0.1001E-03,0.1000E-03,0.1000E-03,0.2678E-01,0.5122E-02,0.3163E-03,0.1007E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.3090E-03,0.1011E-03,0.1253E-02,0.3997E-03,0.1503E-03,0.1001E-03,0.3466E-03,0.1500E-02,0.7100E-03,0.1011E-03,0.2180E-03,0.1238E-03,0.1224E-03,0.2257E-01,0.1723E-02,0.1001E-03,0.1003E-03,0.1019E-03,0.1431E-03, 6.528    , 209.6    , 17.49    , 97.06    , 483.7    , 977.2    ,0.6082E-02
2013,01,29,15, 688,0.3713E-01,0.5388    , 17.01    ,0.1288E-03,0.9489E-04,0.1517E-04,0.2332E-02,0.4136E-04,0.1202E-02, 40.37    ,0.3156    ,0.5766E-01,0.1775E-01, 1633.    ,0.4942E-03,0.4940    ,0.1162    ,0.1064E-01,0.1739E-01,0.3734E-01,0.2829E-01,0.1248E-01,0.9731E-02,0.6365E-03,0.3345E-03,0.2037E-03,0.1613E-03,0.1839E-03,0.3867E-02,0.1611E-01,0.2515E-04,0.4545E-01,0.1978    ,0.5576E-02,0.4485E-03,0.2976E-02,0.4961E-01,0.1308E-01,0.2707E-03,0.1864E-01,0.2075E-01,0.1002E-03,0.1172    ,0.2529E-01,0.8664E-02,0.6671E-01,0.7012E-01,0.1136E-01,0.1079E-02,0.1286E-03,0.1000E-03,0.1000E-03,0.3636E-01,0.1053E-01,0.1088E-02,0.1815E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1708E-02,0.2730E-03,0.5945E-02,0.2053E-02,0.8104E-03,0.1472E-03,0.1367E-01,0.3638E-01,0.4558E-01,0.1023E-03,0.4081E-02,0.1313E-02,0.1269E-02,0.3293E-01,0.2308E-02,0.1001E-03,0.1005E-03,0.1102E-03,0.1535E-03, 6.406    , 210.7    , 16.78    , 95.87    , 434.5    , 977.5    ,0.1578E-02
2013,01,29,16, 689,0.3958E-01,0.6183    , 17.28    ,0.1443E-03,0.1289E-03,0.1563E-04,0.2169E-02,0.5102E-04,0.1330E-02, 40.57    ,0.3280    ,0.5853E-01,0.1978E-01, 1637.    ,0.4846E-03,0.5119    ,0.7877E-01,0.7921E-02,0.1331E-01,0.3654E-01,0.2810E-01,0.1220E-01,0.9445E-02,0.6101E-03,0.2219E-03,0.1364E-03,0.2208E-03,0.2026E-03,0.4114E-02,0.1696E-01,0.2511E-04,0.5361E-01,0.2239    ,0.6451E-02,0.5172E-03,0.3515E-02,0.6009E-01,0.1717E-01,0.6237E-03,0.4113E-01,0.6159E-01,0.1003E-03,0.2613    ,0.6479E-01,0.2621E-01,0.1901    ,0.2046    ,0.3284E-01,0.3105E-02,0.3104E-03,0.1000E-03,0.1000E-03,0.4510E-01,0.1406E-01,0.2062E-02,0.4072E-03,0.1006E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.4229E-02,0.7122E-03,0.1503E-01,0.5638E-02,0.2276E-02,0.3828E-03,0.4379E-01,0.8186E-01,0.9237E-01,0.1059E-03,0.8854E-02,0.2910E-02,0.2813E-02,0.3952E-01,0.2937E-02,0.1002E-03,0.1007E-03,0.1132E-03,0.1521E-03, 6.052    , 210.7    , 16.50    , 94.62    , 461.7    , 978.0    ,0.2134E-02
2013,01,29,17, 690,0.4951E-01,0.6941    , 17.32    ,0.1457E-03,0.1531E-03,0.1741E-04,0.2009E-02,0.6005E-04,0.1430E-02, 40.68    ,0.3473    ,0.6122E-01,0.2237E-01, 1633.    ,0.4565E-03,0.5459    ,0.5768E-01,0.6442E-02,0.1117E-01,0.3666E-01,0.2853E-01,0.1215E-01,0.9411E-02,0.5970E-03,0.1511E-03,0.9387E-04,0.5673E-03,0.2440E-03,0.4640E-02,0.1856E-01,0.2508E-04,0.6146E-01,0.2336    ,0.7754E-02,0.5701E-03,0.4289E-02,0.6666E-01,0.2186E-01,0.6619E-03,0.6652E-01,0.8820E-01,0.1005E-03,0.3139    ,0.8544E-01,0.4513E-01,0.3165    ,0.3490    ,0.5845E-01,0.5602E-02,0.5536E-03,0.1000E-03,0.1000E-03,0.5204E-01,0.1665E-01,0.2739E-02,0.6263E-03,0.1253E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.6894E-02,0.1118E-02,0.2364E-01,0.9946E-02,0.4131E-02,0.6801E-03,0.7369E-01,0.9914E-01,0.9037E-01,0.1091E-03,0.1030E-01,0.3418E-02,0.3306E-02,0.4474E-01,0.3812E-02,0.1002E-03,0.1013E-03,0.1262E-03,0.1606E-03, 5.856    , 214.5    , 16.30    , 91.27    , 474.8    , 978.5    ,0.8780E-03
2013,01,29,18, 691,0.7689E-01,0.8368    , 16.95    ,0.1288E-03,0.1709E-03,0.2102E-04,0.1715E-02,0.3950E-04,0.1483E-02, 40.91    ,0.3683    ,0.6606E-01,0.2479E-01, 1621.    ,0.3862E-03,0.5810    ,0.4289E-01,0.5433E-02,0.9682E-02,0.3714E-01,0.2898E-01,0.1214E-01,0.9515E-02,0.6091E-03,0.9189E-04,0.5837E-04,0.1534E-02,0.3144E-03,0.5199E-02,0.2295E-01,0.2505E-04,0.7660E-01,0.2413    ,0.1141E-01,0.7549E-03,0.7373E-02,0.7654E-01,0.3251E-01,0.6534E-03,0.9640E-01,0.1212    ,0.1011E-03,0.3831    ,0.9853E-01,0.6625E-01,0.4646    ,0.5205    ,0.8933E-01,0.8507E-02,0.8410E-03,0.1000E-03,0.1000E-03,0.6559E-01,0.1899E-01,0.3628E-02,0.1058E-02,0.2111E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1004E-01,0.1651E-02,0.3266E-01,0.1544E-01,0.6473E-02,0.1063E-02,0.1030    ,0.1217    ,0.9141E-01,0.1114E-03,0.1233E-01,0.4128E-02,0.3994E-02,0.4806E-01,0.4777E-02,0.1003E-03,0.1020E-03,0.1339E-03,0.1820E-03, 5.548    , 215.7    , 16.26    , 86.65    , 466.3    , 979.4    ,0.2064E-03
