hour no,isop_emis_SE,isop_emis_NE,isop_emis_Mid,isop_emis_SW,isop_emis_N,terp_emis_SE,terp_emis_NE,terp_emis_Mid,terp_emis_SW,terp_emis_N,isop_ppb_SE,isop_ppb_NE,isop_ppb_Mid,isop_ppb_SW,isop_ppb_N,terp_ppb_SE,terp_ppb_NE,terp_ppb_Mid,terp_ppb_SW,terp_ppb_N,hcho_ppb_SE,hcho_ppb_NE,hcho_ppb_Mid,hcho_ppb_SW,hcho_ppb_N,no_ppb_SE,no_ppb_NE,no_ppb_Mid,no_ppb_SW,no_ppb_N,no2_ppb_SE,no2_ppb_NE,no2_ppb_Mid,no2_ppb_SW,no2_ppb_N,mvk_ppb_SE,mvk_ppb_NE,mvk_ppb_Mid,mvk_ppb_SW,mvk_ppb_N,macr_ppb_SE,macr_ppb_NE,macr_ppb_Mid,macr_ppb_SW,macr_ppb_N
10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
11,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
12,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
15,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
18,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
19,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
21,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
22,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
23,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
24,913.337,1547.231,16.111,63.314,3963.203,461.269,568.353,177.023,363.294,526.977,0.271,0.417,0.006,0.023,1.341,0.063,0.066,0.032,0.06,0.088,0.199,0.3,0.194,0.175,0.305,0.307,0.273,0.267,0.384,0.269,0.51,0.49,0.424,0.602,0.658,0.011,0.018,0,0.001,0.053,0.01,0.015,0,0.001,0.043
25,997.099,1721.397,17.011,94.689,4530.153,499.278,626.979,198.323,437.776,590.601,0.381,0.59,0.007,0.039,1.983,0.083,0.087,0.04,0.074,0.122,0.49,0.688,0.456,0.48,0.822,0.211,0.158,0.174,0.27,0.174,0.376,0.315,0.272,0.42,0.466,0.019,0.029,0.001,0.003,0.103,0.024,0.036,0.001,0.003,0.112
26,1015.158,1819.974,17.2,121.983,4827.2,514.897,666.477,212.936,496.388,631.16,0.444,0.698,0.007,0.054,2.383,0.092,0.1,0.042,0.079,0.142,0.66,0.87,0.615,0.678,1.174,0.172,0.113,0.138,0.192,0.123,0.33,0.242,0.229,0.32,0.361,0.02,0.029,0.001,0.003,0.108,0.033,0.048,0.001,0.005,0.156
27,953.058,1815.736,16.857,141.65,4851.319,500.919,677.286,219.621,534.654,647.768,0.485,0.795,0.007,0.069,2.752,0.1,0.112,0.045,0.085,0.16,0.751,0.954,0.701,0.782,1.411,0.152,0.093,0.117,0.151,0.098,0.311,0.209,0.204,0.263,0.305,0.019,0.028,0.001,0.003,0.106,0.037,0.058,0.001,0.006,0.192
28,818.656,1707.809,15.963,150.55,4601.307,463.871,658.918,216.828,550.388,638.404,0.505,0.883,0.007,0.082,3.13,0.106,0.124,0.048,0.091,0.182,0.794,0.996,0.74,0.831,1.576,0.138,0.083,0.103,0.13,0.084,0.31,0.196,0.19,0.235,0.281,0.019,0.028,0.001,0.003,0.106,0.04,0.066,0.001,0.006,0.225
29,600.773,1435.039,14.623,145.815,4017.531,404.014,603.503,205.437,531.949,597.604,0.495,0.96,0.008,0.091,3.628,0.112,0.136,0.05,0.096,0.213,0.809,1.017,0.755,0.852,1.707,0.127,0.075,0.092,0.117,0.077,0.328,0.199,0.185,0.226,0.281,0.018,0.028,0.001,0.003,0.109,0.04,0.074,0.001,0.007,0.259
30,330.313,930.563,12.307,127.092,3032.317,324.317,498.788,186.73,491.069,529.934,0.454,1.012,0.008,0.097,4.406,0.118,0.152,0.054,0.102,0.272,0.804,1.026,0.757,0.858,1.833,0.114,0.067,0.082,0.109,0.073,0.37,0.217,0.187,0.228,0.31,0.017,0.029,0.001,0.003,0.121,0.04,0.079,0.001,0.008,0.296
31,99.043,309.587,8.239,100.378,1704.335,260.076,395.95,161.658,428.314,447.548,0.397,1.021,0.009,0.097,5.41,0.137,0.187,0.06,0.109,0.386,0.791,1.03,0.753,0.855,1.987,0.095,0.054,0.07,0.101,0.07,0.451,0.269,0.199,0.24,0.395,0.017,0.031,0.001,0.003,0.148,0.039,0.083,0.001,0.008,0.343
32,3.001,2.087,2.89,62.788,391.218,221.264,358.822,145.919,352.864,368.636,0.306,0.904,0.008,0.094,6.254,0.242,0.405,0.078,0.119,0.618,0.788,1.062,0.751,0.843,2.207,0.07,0.043,0.054,0.09,0.061,0.709,0.524,0.238,0.261,0.61,0.018,0.039,0.001,0.003,0.204,0.037,0.086,0.001,0.008,0.406
33,0.308,1.578,0.072,25.868,8.571,195.459,289.738,153.908,307.961,318.494,0.219,0.67,0.009,0.086,5.847,0.392,0.782,0.247,0.148,0.965,0.787,1.118,0.805,0.825,2.428,0.037,0.024,0.046,0.074,0.04,1.073,1.004,0.494,0.311,1.027,0.018,0.044,0.001,0.003,0.267,0.034,0.085,0.001,0.008,0.463
34,0.242,1.305,0.055,1.209,5.944,166.989,243.188,133.082,278.865,282.293,0.175,0.539,0.006,0.073,5.047,0.463,1.098,0.567,0.385,1.322,0.771,1.165,0.923,0.845,2.551,0.033,0.023,0.028,0.055,0.026,1.249,1.404,1.012,0.604,1.507,0.016,0.045,0.001,0.003,0.298,0.029,0.08,0.001,0.008,0.486
35,0.199,1.112,0.043,0.034,5.126,145.779,212.956,114.147,225.698,252.056,0.142,0.441,0.005,0.058,4.402,0.451,1.234,0.864,0.71,1.575,0.736,1.177,1.038,0.909,2.598,0.029,0.023,0.029,0.028,0.027,1.234,1.563,1.465,1.06,1.841,0.015,0.043,0.001,0.004,0.307,0.026,0.075,0.001,0.008,0.489
36,0.175,0.958,0.036,0.028,4.558,129.579,191.023,100.86,195.262,229.916,0.117,0.373,0.005,0.052,3.874,0.402,1.265,1.019,0.876,1.714,0.692,1.161,1.098,0.944,2.604,0.023,0.022,0.03,0.025,0.028,1.139,1.567,1.676,1.32,1.992,0.014,0.041,0.001,0.004,0.307,0.024,0.071,0.001,0.008,0.484
37,0.159,0.844,0.029,0.025,4.128,116.178,174.6,90.646,171.501,212.611,0.098,0.323,0.004,0.046,3.45,0.34,1.245,1.07,0.924,1.782,0.646,1.132,1.111,0.948,2.583,0.019,0.021,0.03,0.024,0.028,1.033,1.502,1.722,1.434,2.021,0.013,0.039,0.001,0.004,0.303,0.022,0.069,0.001,0.008,0.477
38,0.149,0.745,0.026,0.024,3.794,105.071,161.37,82.482,151.779,198.61,0.084,0.284,0.003,0.039,3.121,0.289,1.197,1.055,0.927,1.823,0.604,1.095,1.093,0.932,2.552,0.016,0.02,0.028,0.023,0.027,0.947,1.407,1.673,1.458,1.995,0.012,0.038,0.001,0.004,0.299,0.021,0.067,0.001,0.007,0.47
39,0.142,0.667,0.024,0.024,3.488,95.59,150.19,75.851,136.831,186.092,0.074,0.254,0.003,0.032,2.865,0.257,1.134,1.009,0.917,1.859,0.571,1.053,1.06,0.904,2.525,0.014,0.018,0.026,0.022,0.026,0.886,1.295,1.583,1.432,1.959,0.011,0.037,0.001,0.004,0.297,0.021,0.065,0.001,0.007,0.466
40,0.137,0.599,0.023,0.024,3.256,87.625,140.104,70.306,124.651,176.441,0.066,0.229,0.002,0.026,2.664,0.236,1.07,0.956,0.901,1.904,0.547,1.012,1.021,0.869,2.506,0.012,0.017,0.024,0.022,0.026,0.844,1.187,1.481,1.382,1.933,0.011,0.036,0.001,0.004,0.297,0.02,0.063,0,0.006,0.465
41,0.131,0.547,0.022,0.025,3.049,81.141,131.874,65.042,114.788,167.753,0.059,0.209,0.002,0.022,2.503,0.222,1.013,0.911,0.879,1.96,0.529,0.975,0.985,0.829,2.496,0.012,0.016,0.022,0.021,0.025,0.822,1.091,1.387,1.311,1.918,0.011,0.035,0,0.004,0.299,0.019,0.062,0,0.006,0.467
42,0.129,0.511,0.021,0.026,2.867,76.177,124.586,60.173,106.562,160.029,0.054,0.194,0.002,0.019,2.369,0.212,0.972,0.878,0.854,2.024,0.516,0.944,0.953,0.786,2.493,0.016,0.015,0.02,0.021,0.025,0.831,1.015,1.308,1.227,1.909,0.01,0.035,0,0.003,0.302,0.019,0.061,0,0.006,0.47
43,30.769,20.536,0.019,0.027,2.696,86.337,128.657,55.786,98.834,152.605,0.057,0.179,0.001,0.017,2.255,0.146,0.821,0.856,0.828,2.096,0.503,0.913,0.926,0.744,2.493,0.096,0.043,0.02,0.019,0.026,0.767,0.852,1.242,1.139,1.903,0.01,0.033,0,0.003,0.306,0.018,0.06,0,0.005,0.474
44,123.06,241.509,0.664,0.027,90.409,132.446,196.243,52.279,91.589,163.205,0.122,0.254,0.002,0.015,2.108,0.113,0.399,0.761,0.801,1.936,0.526,0.919,0.933,0.705,2.464,0.244,0.104,0.092,0.021,0.058,0.633,0.502,1.061,1.05,1.697,0.011,0.032,0,0.003,0.299,0.019,0.06,0,0.005,0.469
45,259.398,613.529,4.22,2.953,714.073,194.47,301.402,70.473,104.624,226.076,0.202,0.49,0.005,0.014,1.956,0.095,0.232,0.275,0.482,0.998,0.595,1.015,0.894,0.692,2.426,0.319,0.131,0.138,0.094,0.11,0.532,0.347,0.546,0.73,0.999,0.013,0.033,0,0.003,0.252,0.023,0.066,0,0.005,0.435
46,414.179,994.372,9.44,13.42,1741.443,259.551,406.521,107.128,158.423,319.833,0.269,0.653,0.01,0.015,2.422,0.082,0.15,0.135,0.242,0.528,0.706,1.045,0.952,0.742,2.474,0.299,0.109,0.163,0.156,0.122,0.451,0.249,0.372,0.45,0.616,0.014,0.03,0.001,0.003,0.217,0.027,0.066,0.001,0.005,0.427
47,576.664,1318.512,13.909,24.888,2793.782,328.591,499.874,150.172,235.214,415.038,0.325,0.707,0.01,0.021,2.723,0.074,0.114,0.07,0.14,0.317,0.792,0.997,0.897,0.775,2.386,0.231,0.081,0.128,0.155,0.097,0.366,0.182,0.26,0.316,0.404,0.014,0.025,0.001,0.002,0.169,0.028,0.063,0.002,0.004,0.405
48,816.828,1644.062,17.878,32.768,3842.23,400.806,578.602,186.698,296.72,502.758,0.411,0.766,0.009,0.025,2.877,0.076,0.105,0.05,0.089,0.224,0.834,0.98,0.857,0.765,2.258,0.179,0.069,0.101,0.122,0.075,0.299,0.154,0.202,0.23,0.289,0.014,0.023,0.001,0.001,0.131,0.029,0.06,0.001,0.003,0.383
49,971.423,1843.57,18.741,47.434,4525.776,456.146,636.957,206.507,357.565,572.106,0.498,0.838,0.008,0.031,2.995,0.083,0.107,0.047,0.072,0.19,0.854,0.981,0.861,0.757,2.192,0.15,0.065,0.09,0.1,0.065,0.26,0.144,0.181,0.184,0.239,0.015,0.022,0.001,0.001,0.112,0.032,0.061,0.001,0.002,0.371
50,1070.527,1940.221,18.749,65.582,4934.652,496.637,673.734,218.459,407.072,623.094,0.592,0.918,0.008,0.037,3.128,0.092,0.113,0.047,0.07,0.181,0.87,0.979,0.872,0.752,2.173,0.133,0.063,0.085,0.09,0.06,0.241,0.141,0.173,0.163,0.22,0.015,0.023,0.001,0.001,0.103,0.036,0.066,0.001,0.002,0.366
51,1092.237,1925.975,18.376,79.831,5063.466,518.57,683.676,223.278,442.776,651.9,0.688,0.994,0.008,0.043,3.3,0.102,0.121,0.048,0.073,0.183,0.888,0.977,0.872,0.745,2.182,0.124,0.062,0.08,0.085,0.058,0.235,0.141,0.169,0.153,0.217,0.016,0.024,0.001,0.001,0.099,0.042,0.073,0.001,0.002,0.366
52,1006.936,1799.806,17.905,83.65,4865.337,509.708,657.67,219.054,461.244,650.942,0.771,1.065,0.008,0.047,3.532,0.113,0.13,0.05,0.078,0.193,0.908,0.975,0.867,0.732,2.207,0.118,0.06,0.076,0.083,0.058,0.242,0.145,0.167,0.15,0.223,0.017,0.024,0.001,0.001,0.099,0.048,0.08,0.001,0.003,0.372
53,803.002,1499.488,16.534,77.395,4285.302,465.635,595.93,203.884,459.689,617.942,0.822,1.121,0.008,0.049,3.825,0.123,0.139,0.051,0.083,0.21,0.927,0.972,0.86,0.718,2.244,0.115,0.057,0.07,0.081,0.057,0.262,0.153,0.17,0.15,0.238,0.018,0.025,0.001,0.001,0.101,0.054,0.085,0.001,0.003,0.385
54,522.632,963.527,13.833,64.563,3285.051,383.975,488.574,184.311,431.69,556.745,0.835,1.131,0.009,0.049,4.285,0.132,0.15,0.055,0.088,0.246,0.941,0.966,0.852,0.703,2.297,0.11,0.052,0.063,0.078,0.057,0.301,0.168,0.178,0.152,0.269,0.018,0.025,0.001,0.001,0.108,0.058,0.09,0.001,0.003,0.403
55,209.918,318.849,8.793,49.909,1866.561,295.765,387.154,162.02,374.3,479.751,0.824,1.051,0.009,0.047,5.027,0.15,0.17,0.061,0.093,0.334,0.951,0.957,0.847,0.684,2.392,0.095,0.043,0.055,0.073,0.058,0.375,0.205,0.195,0.158,0.35,0.02,0.027,0.001,0.001,0.128,0.06,0.091,0.001,0.003,0.431
56,8.522,2.188,2.861,31.801,420.82,252.898,362.245,154.629,302.882,405.669,0.816,0.787,0.009,0.044,5.676,0.275,0.31,0.081,0.098,0.541,0.976,0.964,0.846,0.661,2.564,0.074,0.036,0.043,0.065,0.054,0.67,0.391,0.239,0.17,0.57,0.023,0.03,0.001,0.001,0.174,0.06,0.09,0.001,0.004,0.476
57,0.421,1.746,0.081,12.967,9.338,218.68,314.023,161.905,253.047,349.696,0.633,0.54,0.008,0.039,5.135,0.535,0.554,0.345,0.111,0.879,1.02,0.982,0.941,0.633,2.754,0.038,0.023,0.044,0.052,0.038,1.343,0.756,0.639,0.198,1.021,0.026,0.03,0.001,0.001,0.23,0.057,0.083,0.001,0.004,0.52
58,0.319,1.418,0.067,0.553,6.859,187.764,275.591,131.107,236.991,306.623,0.495,0.414,0.006,0.032,4.413,0.771,0.729,0.764,0.199,1.22,1.069,0.993,1.131,0.617,2.868,0.037,0.022,0.026,0.036,0.026,1.981,1.034,1.346,0.336,1.51,0.028,0.028,0.001,0.001,0.261,0.054,0.074,0.002,0.004,0.539
59,0.265,1.173,0.057,0.027,5.809,167.608,244.842,113.65,202.34,271.124,0.404,0.327,0.006,0.026,3.87,0.868,0.747,1.108,0.31,1.444,1.085,0.965,1.284,0.611,2.905,0.039,0.021,0.027,0.02,0.026,2.215,1.079,1.9,0.522,1.816,0.028,0.026,0.001,0.002,0.272,0.053,0.066,0.001,0.004,0.54
60,0.233,0.984,0.051,0.025,5.113,152.653,218.664,102.498,172.864,245.818,0.346,0.264,0.005,0.024,3.441,0.844,0.679,1.323,0.353,1.57,1.066,0.907,1.374,0.594,2.898,0.037,0.019,0.03,0.017,0.026,2.131,0.993,2.202,0.608,1.945,0.029,0.024,0.001,0.002,0.276,0.053,0.059,0.001,0.003,0.536
61,0.212,0.845,0.047,0.023,4.561,139.978,196.83,94.116,147.95,224.779,0.314,0.217,0.005,0.023,3.095,0.723,0.573,1.435,0.344,1.648,1.017,0.831,1.407,0.559,2.86,0.031,0.017,0.032,0.016,0.026,1.863,0.849,2.318,0.61,1.975,0.029,0.022,0.001,0.002,0.276,0.054,0.052,0.001,0.003,0.529
62,0.193,0.75,0.044,0.022,4.135,128.645,178.665,87.489,126.881,208.031,0.29,0.181,0.004,0.022,2.813,0.572,0.476,1.459,0.306,1.7,0.953,0.756,1.398,0.512,2.806,0.024,0.015,0.032,0.014,0.026,1.556,0.714,2.3,0.561,1.95,0.03,0.02,0.001,0.002,0.275,0.055,0.047,0.001,0.003,0.52
63,0.177,0.687,0.041,0.021,3.794,118.173,163.534,82.04,109.43,194.406,0.265,0.152,0.004,0.02,2.581,0.453,0.405,1.413,0.269,1.739,0.89,0.689,1.358,0.464,2.746,0.019,0.014,0.03,0.013,0.025,1.316,0.614,2.192,0.502,1.9,0.03,0.019,0.001,0.002,0.274,0.055,0.041,0.002,0.003,0.511
64,0.171,0.644,0.038,0.02,3.496,109.521,151.137,77.132,95.6,182.645,0.236,0.129,0.003,0.019,2.394,0.39,0.353,1.329,0.243,1.78,0.832,0.63,1.303,0.424,2.689,0.019,0.013,0.027,0.012,0.025,1.193,0.539,2.039,0.453,1.85,0.03,0.017,0.001,0.002,0.272,0.054,0.037,0.002,0.003,0.504
65,0.167,0.612,0.035,0.019,3.215,102.463,140.78,72.706,84.54,171.621,0.195,0.111,0.004,0.018,2.242,0.35,0.313,1.243,0.22,1.824,0.772,0.577,1.25,0.391,2.636,0.024,0.012,0.025,0.011,0.024,1.14,0.479,1.891,0.409,1.804,0.028,0.016,0.001,0.002,0.271,0.051,0.033,0.002,0.003,0.499
66,0.169,0.588,0.032,0.018,2.965,96.756,132.09,68.284,76.288,161.643,0.159,0.096,0.004,0.017,2.113,0.329,0.281,1.178,0.192,1.864,0.713,0.53,1.21,0.361,2.587,0.048,0.012,0.024,0.01,0.023,1.136,0.429,1.77,0.361,1.759,0.026,0.014,0.002,0.002,0.27,0.047,0.029,0.003,0.003,0.494
67,60.339,16.729,0.029,0.018,2.756,116,129.902,63.795,69.508,153.152,0.134,0.084,0.006,0.016,2.006,0.202,0.228,1.137,0.165,1.909,0.635,0.489,1.187,0.335,2.542,0.161,0.022,0.023,0.009,0.022,0.991,0.357,1.678,0.319,1.723,0.021,0.013,0.002,0.002,0.269,0.039,0.026,0.005,0.003,0.489
68,246.626,201.235,0.559,0.017,98.883,182.628,183.323,60.621,63.466,161.929,0.244,0.131,0.009,0.015,1.88,0.146,0.156,1.039,0.145,1.793,0.627,0.483,1.222,0.313,2.483,0.331,0.056,0.098,0.009,0.045,0.8,0.245,1.497,0.286,1.548,0.019,0.013,0.003,0.002,0.261,0.035,0.026,0.007,0.003,0.477
69,504.178,485.015,4.22,2.141,780.872,267.274,261.773,76.215,68.105,228.911,0.367,0.286,0.015,0.015,1.812,0.124,0.126,0.438,0.108,0.946,0.696,0.535,1.256,0.302,2.439,0.412,0.075,0.15,0.029,0.093,0.665,0.18,0.851,0.229,0.913,0.021,0.016,0.005,0.002,0.223,0.037,0.029,0.012,0.003,0.446
70,770.037,782.519,9.574,10.833,1869.542,349.861,339.01,107.617,93.372,326.462,0.452,0.456,0.018,0.015,2.318,0.109,0.11,0.189,0.081,0.499,0.807,0.623,1.374,0.319,2.485,0.385,0.072,0.16,0.066,0.109,0.557,0.144,0.557,0.163,0.554,0.022,0.018,0.005,0.002,0.189,0.04,0.034,0.017,0.004,0.431
